panel,P,parameter,x_median,relative_median,relative_p05,relative_p95,absolute_bits_median,absolute_bits_p95,ratio_median,alignment_high_median,alignment_low_median,frequency_correlation_mean
B,0.5,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,
B,0.5,1000.0,0.00012576574437422883,0.019512651247460856,0.00014959229747549165,0.04176175793099247,0.00015251144195388422,0.00032641109810300773,1.0001951265124744,,,
B,0.5,606.1898993497572,0.00020786589062393723,0.03389767981698133,0.008556483782318698,0.0584111517086903,0.0002649452379492323,0.0004565432375284561,1.0003389767981699,,,
B,0.5,367.4661940736688,0.0003415430905081007,0.05315875112305905,0.021198810450001507,0.08629102215080249,0.00041549032386362095,0.00067445310475715,1.0005315875112304,,,
B,0.5,222.75429519995564,0.0005634995017119171,0.0907737158348298,0.04946416204722613,0.13259437124427953,0.0007094899671967192,0.0010363614096810746,1.0009077371583484,,,
B,0.5,135.03140378698737,0.000931698048451779,0.1510561597139058,0.09541105256650076,0.20755730551274423,0.0011806592780149172,0.001622273854555295,1.0015105615971391,,,
B,0.5,81.8546730706903,0.0015353337401178835,0.24640991768873294,0.17068733307204,0.31585317402010804,0.0019259469859759237,0.0024687174697383186,1.0024640991768874,,,
B,0.5,49.61947603002903,0.002526484249027905,0.40549863110438433,0.31213834035903354,0.4989627329255038,0.0031693889341717907,0.003899907035422562,1.004054986311044,,,
B,0.5,30.078825180431004,0.004160929098570909,0.6654984978462466,0.5474038091579477,0.7870925285132313,0.0052015553518326985,0.0061519377839698896,1.0066549849784625,,,
B,0.5,18.233480008684413,0.006839656235538449,1.0941357609957425,0.9402885014077342,1.2714714544364885,0.008551796497899555,0.009937857365464106,1.0109413576099575,,,
B,0.5,11.052951411260215,0.01122683336158431,1.8011091828170522,1.5989686387762856,2.040904279015602,0.01407752104540666,0.01595176639684091,1.0180110918281704,,,
B,0.5,6.70018750350959,0.018318061356026205,2.9332861144815454,2.633479030499281,3.2458952065622504,0.022926648424626606,0.025370010056856206,1.0293328611448156,,,
B,0.5,4.061585988376979,0.02973404857047951,4.768571476067758,4.294398244421138,5.18623809180954,0.03727129146378266,0.040535785714970955,1.0476857147606777,,,
B,0.5,2.4620924014946257,0.04756291815288255,7.62134669845376,6.985551560436591,8.278657828629711,0.05956866444599174,0.0647062270972238,1.0762134669845378,,,
B,0.5,1.4924955450518291,0.0749346841687441,11.936083360366762,11.1086918584797,12.770960258922956,0.09329276998215108,0.09981819177327549,1.1193608336036676,,,
B,0.5,0.9047357242349302,0.11495529932410692,18.327488555347372,17.21094459442166,19.61504729066377,0.14324817635087217,0.153311772365226,1.1832748855534736,,,
B,0.5,0.5484416576121021,0.1706736268893162,27.225490961789262,25.506144828515783,28.973352106341075,0.2127952184368201,0.22645655128749825,1.2722549096178928,,,
B,0.5,0.3324597932270942,0.24053402257063772,38.06118237578819,35.994308559640494,40.34222084466299,0.297487293396718,0.31531595551077307,1.380611823757882,,,
B,0.5,0.20153376859417332,0.32522902672202947,51.35352129890246,48.63893186405505,54.27336686598799,0.40138059576728624,0.42420219248786606,1.5135352129890245,,,
B,0.5,0.12216773489967918,0.4186257847604834,65.6014993277372,62.178182151581915,69.07470522860861,0.5127432008047546,0.5398898777697091,1.6560149932773718,,,
B,0.5,0.07405684692262442,0.5168272300637373,80.3129675458963,76.44185774457864,84.89717127182863,0.6277284584591776,0.6635587262985254,1.803129675458963,,,
B,0.5,0.04489251258218608,0.6123931512103435,94.12390835195822,89.29263413950375,98.63987632084256,0.7356751680251745,0.7709721032298011,1.9412390835195823,,,
B,0.5,0.027213387683753087,0.7044723747329054,107.38578917520871,102.35348135454352,112.5694785024514,0.8393304090133868,0.8798462735113811,2.073857891752087,,,
B,0.5,0.016496480740980205,0.7845393635713378,118.14736621938226,112.68401655351332,123.81406357506786,0.9234432039324424,0.9677342730378944,2.181473662193823,,,
B,0.5,0.01,0.8484372036154517,126.87016628234593,121.29000466997351,132.02669092547217,0.9916208594753371,1.0319244040229423,2.2687016628234593,,,
B,0.9,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,
B,0.9,1000.0,0.000125700341630397,0.0015146875660186833,-0.0014311251841314613,0.004636115356719541,3.1860010480389e-05,8.946340107047755e-05,1.0000151468756602,,,
B,0.9,606.1898993497572,0.00020747103538448775,0.002670910511477594,-0.001288239078063278,0.006065468740025172,5.276906300000217e-05,0.00011704572056923101,1.0000267091051147,,,
B,0.9,367.4661940736688,0.0003428333217321833,0.004811959330619552,-0.000543840196182624,0.009194998845521288,9.285667296998756e-05,0.00017743645407078957,1.0000481195933062,,,
B,0.9,222.75429519995564,0.0005648203152672782,0.007188460187300348,0.0010908088105793818,0.014043653585045031,0.00013871615508520563,0.0002710012405866324,1.000071884601873,,,
B,0.9,135.03140378698737,0.0009316636173221093,0.012244400428978092,0.004028325994794431,0.021023067730758106,0.00023628094259076082,0.0004056834214452021,1.0001224440042897,,,
B,0.9,81.8546730706903,0.001531199394871341,0.019939198720650565,0.009905394597944634,0.030155288237234387,0.00038476793498765094,0.0005819084380748629,1.0001993919872065,,,
B,0.9,49.61947603002903,0.0025222145779777994,0.03338463626803566,0.019118439010985203,0.04733103387174136,0.0006442253641748552,0.0009133498501521676,1.0003338463626803,,,
